City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
2,zhezkazgan,KZ,78.8,47.8,67.71,broken clouds,Kvartiry Posutochno.
6,rzhaksa,RU,79.5,52.13,42.03,clear sky,Gostinitsa Uyut
9,castro,BR,66.33,-24.79,-50.01,clear sky,CHACARA BAILLY
11,vaini,TO,69.8,-21.2,-175.2,few clouds,Keleti Beach Resort
12,hami,CN,89.51,42.8,93.45,broken clouds,Laoyutang Resort
13,rikitea,PF,71.96,-23.12,-134.97,broken clouds,Pension Maro'i
15,simoes,BR,73.72,-7.6,-40.82,clear sky,Hotel Ponto Certo
16,east london,ZA,82.4,-33.02,27.91,clear sky,Tu Casa
17,thinadhoo,MV,83.17,0.53,72.93,broken clouds,
18,gorontalo,ID,76.15,0.54,123.06,overcast clouds,Maqna Hotel by Prasanthi
20,musoma,TZ,77.0,-1.5,33.8,overcast clouds,New Peninsula Hotel
21,ponta do sol,PT,75.0,32.67,-17.1,clear sky,Hotel do Campo
22,aquiraz,BR,80.6,-3.9,-38.39,clear sky,Hotel Laguna Blu
24,puerto ayora,EC,64.99,-0.74,-90.35,overcast clouds,Finch Bay Galapagos Hotel
27,mahebourg,MU,75.2,-20.41,57.7,shower rain,Le Peninsula Bay Beach Resort & Spa
29,kahului,US,78.8,20.89,-156.47,clear sky,Maui Seaside Hotel
30,bathsheba,BB,82.4,13.22,-59.52,shower rain,Atlantis Hotel
31,jamestown,US,72.0,42.1,-79.24,few clouds,Hampton Inn & Suites Jamestown
32,pilar,BR,78.8,-9.6,-35.96,scattered clouds,Pousada e churrascaria Manguaba
34,somerville,US,84.99,42.39,-71.1,few clouds,La Quinta Inn & Suites by Wyndham Boston Somerville
35,cape town,ZA,60.8,-33.93,18.42,scattered clouds,Southern Sun Waterfront Cape Town
36,guerrero negro,MX,65.3,27.98,-114.06,clear sky,"Casa Laguna, Bed & Breakfast"
38,lata,PT,84.0,40.16,-8.33,scattered clouds,Casa Maquia
40,avarua,CK,69.8,-21.21,-159.78,overcast clouds,Paradise Inn
41,kidal,ML,93.79,18.44,1.41,few clouds,
43,georgetown,MY,86.0,5.41,100.34,thunderstorm,Cititel Penang
