City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,busselton,AU,-33.65,115.33,53.01,84,80,7.92,broken clouds,0.0,0
1,chuy,UY,-33.7,-53.46,42.94,76,33,11.59,scattered clouds,0.0,0
2,zhezkazgan,KZ,47.8,67.71,78.8,31,75,17.9,broken clouds,0.0,0
3,severo-kurilsk,RU,50.68,156.12,51.71,89,100,17.38,overcast clouds,0.0,0
4,nanortalik,GL,60.14,-45.24,47.48,92,99,4.88,overcast clouds,0.0,0
5,klaksvik,FO,62.23,-6.59,50.0,100,100,17.22,overcast clouds,0.0,0
6,rzhaksa,RU,52.13,42.03,79.5,40,0,5.59,clear sky,0.0,0
7,albany,US,42.6,-73.97,75.0,83,29,4.7,heavy intensity rain,5.59,0
8,ushuaia,AR,-54.8,-68.3,33.8,86,75,31.09,heavy intensity drizzle,0.0,0
9,castro,BR,-24.79,-50.01,66.33,69,0,10.18,clear sky,0.0,0
10,esperance,AU,-33.87,121.9,50.0,93,0,4.7,clear sky,0.0,0
11,vaini,TO,-21.2,-175.2,69.8,77,20,10.29,few clouds,0.0,0
12,hami,CN,42.8,93.45,89.51,22,74,18.66,broken clouds,0.0,0
13,rikitea,PF,-23.12,-134.97,71.96,82,82,14.16,broken clouds,0.0,0
14,clyde river,CA,70.47,-68.59,42.8,100,90,8.05,fog,0.0,0
15,simoes,BR,-7.6,-40.82,73.72,57,5,16.87,clear sky,0.0,0
16,east london,ZA,-33.02,27.91,82.4,17,0,13.87,clear sky,0.0,0
17,thinadhoo,MV,0.53,72.93,83.17,76,53,10.78,broken clouds,0.0,0
18,gorontalo,ID,0.54,123.06,76.15,87,98,4.7,overcast clouds,0.0,0
19,tasiilaq,GL,65.61,-37.64,46.4,75,20,8.05,few clouds,0.0,0
20,musoma,TZ,-1.5,33.8,77.0,57,90,10.69,overcast clouds,0.0,0
21,ponta do sol,PT,32.67,-17.1,75.0,63,0,1.77,clear sky,0.0,0
22,aquiraz,BR,-3.9,-38.39,80.6,61,9,17.22,clear sky,0.0,0
23,tuatapere,NZ,-46.13,167.68,44.01,85,100,3.0,overcast clouds,0.0,0
24,puerto ayora,EC,-0.74,-90.35,64.99,98,94,1.99,overcast clouds,0.0,0
25,peno,RU,56.93,32.74,74.26,81,97,7.31,moderate rain,1.06,0
26,sitka,US,57.05,-135.33,53.6,93,90,1.57,overcast clouds,0.0,0
27,mahebourg,MU,-20.41,57.7,75.2,73,40,8.05,shower rain,0.0,0
28,fortuna,US,40.6,-124.16,53.01,95,0,2.17,clear sky,0.0,0
29,kahului,US,20.89,-156.47,78.8,65,1,20.8,clear sky,0.0,0
30,bathsheba,BB,13.22,-59.52,82.4,88,40,14.99,shower rain,0.0,0
31,jamestown,US,42.1,-79.24,72.0,94,20,4.7,few clouds,0.0,0
32,pilar,BR,-9.6,-35.96,78.8,78,40,6.93,scattered clouds,0.0,0
33,baker city,US,44.77,-117.83,53.6,81,1,3.31,clear sky,0.0,0
34,somerville,US,42.39,-71.1,84.99,62,20,9.17,few clouds,0.0,0
35,cape town,ZA,-33.93,18.42,60.8,63,40,23.04,scattered clouds,0.0,0
36,guerrero negro,MX,27.98,-114.06,65.3,91,1,8.23,clear sky,0.0,0
37,grindavik,IS,63.84,-22.43,50.0,81,75,11.41,broken clouds,0.0,0
38,lata,PT,40.16,-8.33,84.0,65,43,3.0,scattered clouds,0.0,0
39,butaritari,KI,3.07,172.79,82.31,80,100,18.79,moderate rain,3.35,0
40,avarua,CK,-21.21,-159.78,69.8,83,99,9.17,overcast clouds,0.0,0
41,kidal,ML,18.44,1.41,93.79,38,24,12.68,few clouds,0.0,0
42,igarka,RU,67.47,86.58,58.37,54,93,14.56,overcast clouds,0.0,0
43,georgetown,MY,5.41,100.34,86.0,74,20,8.05,thunderstorm,0.0,0
44,tiksi,RU,71.69,128.87,41.16,81,98,9.33,overcast clouds,0.0,0
45,usoke,TZ,-5.17,32.35,82.4,37,20,11.41,few clouds,0.0,0
46,saskylakh,RU,71.92,114.08,56.79,61,37,8.08,scattered clouds,0.0,0
47,caramay,PH,10.18,119.24,80.19,80,100,2.91,light rain,0.72,0
48,lebu,CL,-37.62,-73.65,42.08,80,0,11.52,clear sky,0.0,0
49,murgab,TM,37.5,61.97,104.0,13,0,6.93,clear sky,0.0,0
50,teya,RU,60.38,92.63,66.7,64,71,2.21,light rain,0.27,0
51,kapaa,US,22.08,-159.32,78.8,83,90,19.46,overcast clouds,0.0,0
52,atuona,PF,-9.8,-139.03,79.52,72,29,25.1,scattered clouds,0.0,0
53,santarem,BR,-2.44,-54.71,82.4,74,0,2.24,clear sky,0.0,0
54,coquimbo,CL,-29.95,-71.34,46.4,81,0,4.7,clear sky,0.0,0
55,porto novo,BJ,6.5,2.6,80.6,78,40,13.87,scattered clouds,0.0,0
56,yanam,IN,16.73,82.22,89.6,70,20,6.93,few clouds,0.0,0
57,bullhead city,US,35.15,-114.57,87.8,15,1,2.42,clear sky,0.0,0
58,yellowknife,CA,62.46,-114.35,61.0,93,20,3.36,few clouds,0.0,0
59,punta arenas,CL,-53.15,-70.92,37.4,74,29,24.16,scattered clouds,0.0,0
60,katsuura,JP,35.13,140.3,80.01,89,99,3.0,overcast clouds,0.0,0
61,komsomolskiy,UZ,40.43,71.72,93.2,23,0,6.93,clear sky,0.0,0
62,pangody,RU,65.85,74.49,61.36,46,88,15.35,overcast clouds,0.0,0
